title,artist,creator,tags,num_uninherited_points,mp3_duration_seconds,song_name,variation_rating_uninherited
Promise (feat. Sherie),M2U,Ultima Fox,Yakusoku no Uta Yagsogjiga O2Jam icekalt greenhue 約束之歌 high5 Adieu Chérie,1,153.21333333333334,1005492,0.0
Raise Your Flag,MAN WITH A MISSION,Hantrik,japanese male vocals nelliel nekroman4ik akitoshi rock j-rock Mobile Suit Gundam IRON-BLOODED ORPHANS opening op anime Dead End in Tokyo corinn -laura- The World's On Fire,1,187.41399092970522,1005889,0.0
HAPPY HAPPY,TWICE,Sotarks,ren reform derandom otaku kowari kujinn japanese jpop j-pop kpop k-pop female vocalist sana jihyo dahyun nayeon jeongyeon chaeyoung momo mina tzuyu 나연 정연 모모 사나 지효 미나 다현 채영 쯔위 once breakthrough jyp entertainment,1,206.9736961451247,1006690,0.0
only my railgun (TV Size),fripSide,DJPop,,1,90.69714285714285,10067,0.0
Kantan na Koto,THE ORAL CIGARETTES,Tanzeem,Japanese J-Rock alternator ailv Basensorex Lewski Lewdski Before It's its Too Late Rock Fixion cut short ver version,1,91.0922902494331,1006793,0.0
Spelunker,Unknown Artist,mrowswares,スペランカー しょぼんのアクション Syobon no Akushon Action Cat Neko Gato mario from hell Super Mario Bros world parody ちくChiku Spelunk 元祖みんなでスペランカー Tim Timothy G. Martin stage theme 01 atari NES nintendo entertainment system kingling nelliel walaowey matsubara kanon nyantiaz yellojello cptsqbany skubi pocket- pokey_gd minorsonek m2usonek apo11o apollo yokespai aistre alphabet venax video game instrumental scognito,1,38.112625,1006950,0.0
Tomin,Yorushika,CoLouRed GlaZeE,delis kanor garden 負け犬にアンコールはいらない ナブナ n-buna nbuna スイ suis,1,301.24408163265304,1007573,0.0
Brightest Melody (MOVIE SIZE),Aqours,Sotarks,Love Live! Sunshine!! school idol project yuki Chika Takami 高海千歌 Anju Inami 伊波杏樹 Riko Sakurauchi 桜内梨子 Rikako Aida 逢田梨香子 Kanan Matsuura 松浦果南 Nanaka Suwa 諏訪ななか Dia Kurosawa 黒澤ダイヤ Arisa Komiya 小宮有紗 You Watanabe 渡辺 曜 Shuka Saitou 斉藤朱夏 Yoshiko Tsushima Yohane 津島善子 Aika Kobayashi 小林愛香 Hanamaru Kunikida 国木田花丸 Kanako Takatsuki 高槻かなこ Mari Ohara 小原鞠莉 Aina Suzuki 鈴木愛奈 Ruby 黒澤ルビィ Ai Furihata 降幡 愛 kowari lami intoon reform kujinn ren derandom otaku smokelind,1,115.94632653061224,1007637,0.0
One Reason (TV Size),DWB feat. Fade,Sieg,manglobe inc opening shiro ganta black hearts and dollar signs -bakari- evilelvisv2,1,91.8465306122449,100892,0.0
Inferno (TV Size),Mrs. GREEN APPLE,Ryuusei Aika,Serizawa Haruki Jack J_a_c_k Lunala Rin_Sa Rein_Liya contagious Rolniczy Deca Yudragen ChaoticRed Sandrew Senseabel CoLouRed GlaZeE CoLouRed_GlaZeE Taeyang Lami intoon SMOKELIND dkblaze fire force fireforce en en enen enn enn ennenn no shouboutai shōbōtai shobotai japanese rock anime op opening theme male vocal ミセスグリーンアップル motoki omori 大森元貴 hiroto wakai 若井滉斗 ayaka yamanaka 山中綾華 ryoka fujisawa 藤澤涼架 kiyokatsu takano 髙野清宗,1,90.87721088435374,1009278,0.0
Perfect Seimei,NayutalieN,LeQuack,Perfect Life 初音ミク Hatsune Miku Vocaloid Creamy Candy Affirmation Noffy Novelty Japanese ボーカロイド ボカロ ナユタン星人からの物体X cut ver nayutan seijin kara no buttai x,1,95.03345833333333,1009279,0.0
No title,FantasticYouth,Akitoshi,Corinn -Laura- Kowari Reol LowFat Onyu おん湯(♨) cover utaite japanese pop jpop GigaP Fantastic Youth,1,248.512,1009447,0.0
Deai Machi,THE ORAL CIGARETTES,skytuna,frozz Entry Hantrik AzRaeL apoq rock japanese The BKW Show!! Before Its Too Late fzl_17 -_AzRaeL_-,1,131.5007029478458,1009469,0.0
furioso melodia (2017 VIP),gmtn. (witch's slave),Cheri,BMS Hardcore Instrumental Hailie Yukiya Bashe DJ Lucky,1,152.04444444444445,1009732,0.0
Revenge,TryHardNinja feat. CaptainSparklez,fieryrage,usher pitbull dj got us fallin' in love minecraft creeper song mine dig live parody remix youtube english pop -keitaro glaceon foxygrandpa foxy grandpa,1,222.56326530612245,1009836,0.0
Monster Effect,THE ORAL CIGARETTES,sparxo,The BKW Show!! Japanese Rock xandit bossandy yshadowxop_ mkguh nyantiaz kujinn reform,1,94.37666666666667,1010401,0.0
Violet Perfume,SHK,ktgster,펌프잇업 matrix sound​holic​k,1,113.25600907029478,1010865,0.0
Tokyo's Starlight,HyuN,Heilia,mappers guild mapper's guild featured artist instrumental Nasmoeb Beomsan Beom neoskylove affirmation electronic,1,151.0661224489796,1011055,0.0
GET BACK,THE ORAL CIGARETTES,NexusQI,japanese rock amy before it's its too late cut short ver version,1,100.84979591836735,1012262,0.0
Jiriki Hongan Revolution (TV Size),3 Nen E Gumi Utatan,Blitzifyyy,Mocaotic Cris- Wolf3211 Shiota 潮田 Fuchigami Mai 渕上 舞 Kaede カエデ Suzaki Aya 洲崎 綾 Akabane Karma Karuma 赤羽 Okamoto Nobuhiko 岡本 信彦 Yuuma 悠馬 Osaka Ryota Ryōta Ōsaka Ohsaka 逢坂 良太 Hiroto 陽斗 Asanuma Shintaro 浅沼 晋太郎 Ansatsu Kyoushitsu Assassination Classroom Season One Japanese Anime 渚 茅野 業 磯貝 前原 Nagisa Kayano Karuma Isogai Maehara,1,89.49800453514739,1013091,0.0
Christ & Combat,Powerwolf,piroshki,heavy metal blessed and possessed english,1,219.74204081632652,1013426,0.0
closer,Aimer,Kiyoshi Guarden,エメ daydream album track number 10 森内貴寛 Taka Takahiro Moriuchi Morita ONE OK ROCK Colin Brittain Jamil Kazmi Winter Story Cut Version Entry Kowari Kujinn Reform,1,93.11868480725623,1013478,0.0
BWLAUTE BEIRRD,Yumeno Yuki,Lasse,nukitashi 2 Is the prospect LMT AIR or Kalibe Hope or Despair opening full version eroge visual novel blue bird water japanese pop rock english sbeve,1,230.66666666666666,1014034,0.0
Slow Motion (feat. DongGeyoung),Warak,NeonLights,video game rhythm korean pop kpop k-pop 하이파이브 high five 5 agatsu deviouspanda dada sparhten amiya slowmotion,1,155.45469387755102,1014716,0.0
Bwa !,Thaehan,Sonnyc,Taeyang Loki Electronic Chiptune featured artist mapper's guild,1,123.87265306122448,1014936,0.0
Nautilus,Creo,VINXIS,cheesecake mapper's mappers' guild mapper mappers featured artist,1,324.3764172335601,1015289,0.0
veil,Suda Keina,Dogerinoo,balloon バルーン porte Fire brigade of flames ending one 1 ed full version fire force en en no shouboutai Mocaotic SkyFlame,1,210.32,1015516,0.0
Protoflicker,Silentroom,DeRandom Otaku,chapter iv 4 progressive trance noxy games ios nintendo switch android Video Game Instrumental deppyforce xen xenon- xehn kowari -_frontier_-,1,172.35591836734693,1016347,0.0
Tramontane,BoxPlot,Alumetri,ep english electronic dnb drum & bass liquid records derandom otaku ren daycore pantydev reform Kujinn,1,281.37934240362813,1016398,0.0
AaAaAaAAaAaAAa,Nashimoto Ui,Sotarks,hatsune miku ren derandom otaku kowari smokelind reform kujinn Vocaloid 初音ミク 梨本P NashimotoP Rock Novelty Japanese Original Cut Short Version Ver,1,109.864,1017271,0.0
Hisui no Machi,sana,Firika,さな メル meru Mer 飴屋エマ AmeyaEma  Fall To Heaven cover female utaite japanese jpop pop novelty n.k Rumia- _lai Remapper,1,224.51374149659864,1017483,0.0
Time Lapse,Poppin'Party,browiec,BanG Dream! Bandori! Girls Band Party! ガルパ Garupa 7th single song Bandori project Girl Party Garupa! Popipa 戸山香澄 Toyama Kasumi 愛美 Aimi 山吹沙綾 Yamabuki Saaya 大橋彩香 Ohashi Ayaka 牛込りみ Ushigome Rimi 西本りみ Nishimoto Rimi 花園たえ Hanazono Tae 大塚紗英 Otsuka Sae 大塚紗英 Ichigaya Arisa 伊藤彩沙 Itou Ayasa Timelapse japanese game size,1,125.298,1018483,0.0
Rain,SID,Yudragen,Hagane no Renkinjutsushi Brotherhood ED opening FMAB anime japanese chaoticred agatsu fixxis black man harepascals,1,256.2612244897959,1018700,0.0
oyasumi (Speed Up Ver.),Shiggy Jr.,Nao Tomori,naotoshi bite you death byd emu1337 schoolboy komore dakini dakinibrave xayah silent silento thearchist lasse log off now lon listen to the music jpop japanese vocal pop junior おやすみ tomoko ikeda 池田 智子 shigeyuki harada 原田 茂幸 natsuhiko mori 森 夏彦 kazuma moroishi 諸石 和馬 cut sped nightcore short version criin universal sigma,1,38.90800453514739,1019207,0.0
Reiwai Terrorism,Zips,Broccoly,Vocaloid2 AREN Kenji Not-116 Megpoid GUMI heisei project kairiki bear soul distortion terrorism jippusu Gero Karia Sonnyc ヘイセイプロジェクト かいりきベア,1,172.355875,101953,0.0
Blow,UNDEAD CORPORATION,hehe,deathstream flash back metal rock core japanese english handsome heilia -mikan bazz_b featured artist fa,1,214.64816326530612,1019640,0.0
Meikaruza,Nanahoshi Kangengakudan,Snowin,Iron Quality MONSTER BEERGARDEN jazz fusion fujun isei kouyuu p fujuniseikouyuup 不純異性交遊p illicit sexual relations monaka モナカ pkk alternate double-bpm,1,288.130612244898,1019721,0.0
Idolize,Creo,deetz,featured artist mappers guild cheesecake vinxis,1,238.15058956916099,1020213,0.0
Inferno (TV Size),Mrs. GREEN APPLE,Himekawa,fire force j-rock anime op fire brigade of flames enen no shouboutai opening japanese rock jrock tamaki kotatsu yuituri asaben kkipalt stratos,1,92.688,1020256,0.0
Darling (TV Size),XX:me,dkblaze,Darling in the FRANXX Ending ED Zero Two Ichigo Miku Kokoro Ikuno キス・ミー kiss me Anime Japanese nautzz Shizuku- Asuka_-,1,93.02204081632654,1020360,0.0
Datura,UNDEAD CORPORATION,Seto Kousuke,English Rock metal featured artist fa mapper mappers mapper's mappers' guild pishifat pishi trynna senna,1,232.75102040816327,1020613,0.0
Rhythm Of Love,Yoomiii,Jemmmmy,ekao Let The Music Play,1,220.86530612244897,102071,0.0
Kokoro Odoru,nobodyknows+,toybot,bbj0920 regraz mafumafu heart dance sd Superior Defender Gundam Force Do You Know? osu tatakae ouendan 押忍！闘え！応援団,1,251.71591836734694,1020878,0.0
[BLEED BLOOD],Camellia,Mir,c96 comiket blackmagik blazing trap hardstyle edm dubstep Cametek KamelCamellia かめるかめりあ ctcd-019 bleed blood beast akeruyri kujinn reform electronic instrumental featured artist fa,1,259.0133333333333,1021338,0.0
Chiptune & Baroque,Thaehan,Cris-,Minorsonek M2Usonek High Tempo Beatmap Pack FA Featured Artist Gremio Mappers' Guild MG Bwa And Electronic Instrumental Video Game Chiptune,1,82.05061224489796,1021450,0.0
NANI THE FUCK!!,Camellia feat. Nanahira,Mir,ごーいん！ go-in! Confetto c96 comiket 96 kamelcamellia cametek pop edm drum and bass dnb hardbass dubstep what the LMT japanese electronic instrumental,1,263.36,1021743,0.0
Kimi no Kioku (ATLUS Meguro Remix),Meguro Shoji feat. Kawamura Yumi,domSaur,persona 3 dancing in moon night moonlight atlus memories of you dubturt video game japanese,1,189.17877551020408,1022375,0.0
Terminal,Renard,nold_1702,happy623 hell foreverends mintong89 intensive care unit ep: extended and remastered reyshel mintong lapfox trax,1,160.28733333333332,102282,0.0
veil,Suda Keina,Kaitjuh,fire force brigade of flames ending enn enen no shouboutai balloon バルーン porte japanese anime yudragen chaoticred airincat elcheer deviouspanda toadnica technica,1,209.71102040816328,1023081,0.0
Toki wo Kizamu Uta (TV Size),Lia,osuplayer111,Anime Clannad ~After Story~ Nagisa Tomoya,1,89.852875,10233,0.0
you feat. Eminem,haru,Fixxis,Black Man Natteke tieff slim shady gillstar amity higurashi no naku koro ni when the evening cry cicadas you 07th expansion rap eminem haru☆ ha_ru mashup haru* When I'm Gone remix dear you English hip hop hip-hop,1,341.6555102040816,1023323,0.0
Evans,DJ YOSHITAKA,Leader,Acylica Acyl fanzhen0019 Muya Kloyd -kevincela- Nemis Sulfur toybot vikala Natteke desu Jounzan EvilElvis EvilElvisV2 BEMANI beatmania IIDX 17 SIRIUS REFLEC BEAT colette -All Seasons- HARD RENAISSANCE SOUND VOLTEX IV HEAVENLY HAVEN SDVX pop'n music Sunny Park CHUNITHM AIR PLUS SEGA Instrumental Electronic Video Game,1,110.47183333333334,1023491,0.0
Hachigatsu no Yoru,Silent Siren,Elayue,japanese pop Hinsvar Nelliel Zxcvbnmkl august night Yoshida Sumire Umemura Hinako Yamauchi Aina Kurosaka Yukako 吉田菫 梅村妃奈子 山内あいな 黒坂優香子 すぅ ひなんちゅ あいにゃん ゆかるん,1,104.3790022675737,1023912,0.0
MERLIN,REDALiCE,Pentori,cubbby cubby shota on osu electronic arcaea video game instrumental,1,129.5510657596372,1024220,0.0
Got Me Thinking (feat. Veela),Maduk,Asphyxia,dnb drum and bass liquicity never give up english electronic Kyshiro Slips Tycani greenhue,1,212.9142857142857,1024635,0.0
Gurenge,LiSA,Crissa,demon slayer kimetsu no yaiba 通常盤 anime japanese op opening full size hazu- wolf3211 [-crissaegrim-],1,238.58666666666667,1025171,0.0
Dear My Friend -Mada Minu Mirai e-,ELISA,DJPop,,1,90.40979591836735,10254,0.0
Levitate,twenty one pilots,Mao,trench gens hectic hootowlstar RyoKazuka hip hop english rap h4d0uk3n1,1,145.88995464852607,1026205,0.0
Soba ni Iru yo (TV Size),ELISA,xChippy,The Liberator ending 革命機ヴァルヴレイヴ Sunrise jonathanlfj Oyatsu,1,90.33141666666667,102681,0.0
MUKANJYO,Survive Said The Prophet,Hantrik,vinland saga anime op opening male vocalist j-rock jrock japanese rock bossandy akitoshi corinn -laura- smoke,1,192.4,1026970,0.0
Wan Wan Wan Wan N_1!! (TV Size),Inukko Club,Flask,Musume Club mintong89 Kazuhito Harumi Kirihime Natsuno Dog and Scissors 犬とハサミは使いよう 犬ハサ Inoue Marina Asumi Kana Itou Shizuka Ai Kakuma Yu Serizawa なんどーけん,1,89.391,102701,0.0
RAT RACE,TORIENA,Acyl,Electronic Chippunk osu!international mapping contest #3 o!imc3 len moecho necho fast kawashiro flask,1,220.7754375,1027510,0.0
Kto Vse Eti Lyudi?,PORNOFIL'MY,KeRLi_,pornofilmy Russian dream. Part 1 Русская мечта. Часть 1 who are all these people русский рок rock панк punk maruoko daycore melwoine kesha kesha_174 keevy pantydev,1,87.12002267573696,1027950,0.0
Vitalization (TV Size),Mizuki Nana,Flower,Opening Kazanari Tsubasa 戦姫绝唱シンフォギアG,1,96.5224375,102803,0.0
JUSTadICE (TV Size),Oomori Seiko,Ryuusei Aika,Kowari Serizawa Haruki Serizawa_Haruki Jack J_a_c_k Daycore Lunala Rin_Sa Rein_Liya Chokori BaAR_Vendel -Zeraora -Harpuia- Astronic _lai Kencho Fixxis Black Man Black_Man MiracleE SMOKELIND Onlybiscuit brotarks Ren DeRandom Otaku DeRandom_Otaku dkblaze Yuuma Fu3ya_ Fu3ya Fumiya SeiraN SeiraN- Clover anime opening op 7 japanese pop rock jrock j-rock female vocal vocalist,1,93.81079365079366,1028120,0.0
Harmonia,ATSUMI UEDA,Creamy Candy,agai132 [Mad] realy0_ DeppyForce xHappy- p_kung penfifteen Xenon Xehn long version full PON Daichi Watanabe japanese video game female vocals BeatStream popn Lapistoria 22 Power Of Nature konami bemani ポップンミュジック Nostalgia ノスタルジア,1,215.016,1028168,0.0
Hunger,Amaranthe,greenhue,LMT 10nya broke my heart take me back tennya cami dada english metal,1,192.18283333333332,1028446,0.0
Natsuzora Yell (TV Size),Momohara Natsuki (CV: Murakawa Rie),Sotarks,kantoku one room anime japanese female vocalist reform kujinn smokelind lami intoon taeyang nevo kowari ren derandom otaku,1,36.949455782312924,1028594,0.0
This Will Be the Day (feat. Casey Lee Williams) (TV Size),Jeff Williams,browiec,volume 1 opening theme short version nyantiaz red ruby white black yellow rose yang xiao long weiss schnee blake belladonna english rock,1,74.11807256235828,1028804,0.0
Ima Suki ni Naru.,HoneyWorks feat. sana,Sotarks,ハニワ 鎖那 さな 好きになるその瞬間を。 Sono Shunkan wo. 告白実行委員会〜恋愛シリーズ〜 Kokuhaku Jikkou Iinkai Renai Series Confession Executive Committee Love 初音ミク Hatsune Miku ボーカロイド ボカロ Vocaloid ゴム Gom フェルナンドP Fernando-P シト shito チョリスP Chorisu-P オジ Oji 海賊王 Kaizoku Ou ケイキ japanese female vocals Kowari Reform Kujinn DeRandom Otaku Ren,1,115.47705215419501,1029312,0.0
Squall,04 Limited Sazabys,Gillstar,fixxis black man kalibe tatemae anishina kodoku loreley tomadoi shiinoha kotone agatsu kittyadventure kowari soil japanese jp rock j-rock male vocal,1,196.70204081632653,1029349,0.0
Watashi no Bara o Haminasai (TV Size),ALI PROJECT,Flower,season 3 opening PEACH-PIT,1,90.01795918367347,102949,0.0
Shadow Corps,Yousei Teikoku,IsomirDiAngelo,corps[e] corpse das feenreich fairy empire yui itsuki japanese rock j-rock metal j-metal heavy lmt atalanta talulah alphabet venax aistre,1,284.4473469387755,1029620,0.0
Melty Land Nightmare,Harumaki Gohan feat. Hatsune Miku,Cris-,Ataraxia DigiDrake AirinCat TheShadowOfDark Pop Japanese Vocaloid Novelty,1,113.7,1029792,0.0
Home,MY FIRST STORY,HowRengar,Jrock japanese rock antithese track 13,1,241.13632653061225,1029822,0.0
Key of Truth,sweet ARMS,PikAqours,DATE A LIVE Twin Edition Rio Reincarnation game opening theme song ps vita short version Froskya Wanpachi Cycopton TritoBandito japanese Revialink j-pop pop,1,99.500375,1029883,0.0
Killin' It (Sped Up Ver.),Krewella,h3ct1c,Hectic Daycore Shmiklak piroshki AYE1337 PantyDev h4d0uk3n1 get wet play hard ep monstercat drumstep dubstep edm electronic english Reisen Udongein Inaba touhou pink anime girl killing speed marvollo m_a_r_v_o_l_l_o,1,188.16,1029940,0.0
Ohayou !,Thaehan,azamaki,loki bwa ohayo electronic instrumental fa featured artist Sweets Seonah -Lian- Lian2002 Houtaro,1,103.44489795918368,1030093,0.0
Witches' Night (ShinRa-Bansho Ver.),TAMAONSEN,Dafiely,"videogame halloween 東方Project Team Shanghai Alice 上海アリス幻樂団 霧雨 魔理沙 japanese c96 メイガスナイト xen xenon- xenon xehn toho 12.8 Fairy Wars Extra boss theme ZUN Magus kirisame marisa misoni comi touhou 東方歌ってみた Comiket 96 kaztora Hedonist あやぽんず＊,あよ Ayaponzu* Ayo danbkaa Denil25 girl",1,266.9714285714286,1030100,0.0
the new non non biyori disco groove,Moe Shop,Plaudible,anime japanese electronic lokidoki okaeri おかえり  Koiwai Kotori Murakawa Rie Sakura Ayane Asumi Kana 小岩井ことり 村川梨衣 佐倉綾音 阿澄佳奈,1,72.01959183673469,1031041,0.0
Guinea Pig Olympics,Parry Gripp,Sotarks,english vocalist children music pop reform kujinn eiri- ayyri,1,54.18750566893424,1031162,0.0
"Tiny Little Adiantum (deadman's ""Omae Wa Mou"" remix)",3L,Leader,-Arche Acyl Shibito お前はもう死んでいる Shindeiru Already Dead prod. lil boom ShibayanRecords Shibayan Records milka 東方Project Tōhō Toho Touhou Shrine Maiden Project 今昔幻想郷 Kaeidzuka Gensokyo Past and Present Land ZUN 太田順也 Ōta Jun'ya Ota Junya BOSSA NOVA 2 Reitaisai 10 Country Trap Rap Japanese Electronic Instrumental Fist of the North Star Hokuto no Ken 北斗の拳,1,113.33741666666667,1031221,0.0
Joker,Hatsune Miku,Saturos-fangirl,,1,194.87345,10314,0.0
Circles,Post Malone,Hari,hollywood's bleeding hip hop rap pop english lukas Tomadoi tricolor Seolv BlastTheKidd,1,215.3534693877551,1031402,0.0
May I Help You? (TV Size),"Kayano Ai, Nakahara Mai & Toyosaki Aki",Unsfamiliar,サーバント×サービス opening a-1 pictures akareh sun rainbow,1,89.86138321995465,103182,0.0
Crimson feat. Hatsune Miku (Radio Edit),Wisp X,Nao Tomori,mappers guild featured artist vocaloid novelty japanese yaspo aeril,1,186.40979591836734,1032163,0.0
Charles,Roselia,Mocaotic,BanG Dream! Bandori! Girls Band Party! ガルパ Garupa insert cover original song single album Bandori project Girl Party Garupa! Rozeria ロゼリア Minato Yukina 湊友希那 Hikawa Sayo 氷川紗夜 Imai Lisa 今井リサ Udagawa Ako 宇田川あこ Shirokane Rinko 白金燐子 Aiba Aina Aiai 相羽あいな Kudō Haruka Kudo Kudou Kudoharu Kdhr 工藤晴香 Endō Yurika Endo Endou Yurishii 遠藤ゆりか Sakuragawa Megu Meguchii 桜川めぐ Akesaka Satomi Akeko 明坂聡美 Nakashima Yuki Shimayuki 中島由貴 balloon flower Japanese Video Game Rock,1,97.704,1032239,0.0
POTOMIRU PINERA,Fotzu,TheShadowOfDark,Chilean Chile おてんば恋娘 cirno chirumiru misamirú misamiru youtube touhou Beloved Tomboyish Girl hazu- wolf3211 tatan -_tatan_- チルミルチルノ Sebastián Sebastian Piñera videogame japanese spanish video game ytpmv 音MAD,1,125.04,1032450,0.0
traumerei (TV Size),LiSA,kusano,opening kitsuneko il sole penetra le illusioni,1,90.07875,103281,0.0
KUUKAN<=>Formation,YAIRI,Net0,Room⇔Formation 2013 AKIAKANE ROOM Japanese Rock Vocaloid Kalindraz Enerugi HowRengar Rensia AlextroIIPsy K4L1,1,220.60408163265305,1033379,0.0
Point of No Return,Starset,Net0,rock english time freeze _Sh1ro DoAcre xunni maot kalindraz SrSkyPlayer Transmissions 2014 alternative eletronic progressive,1,202.4291156462585,1033381,0.0
BELOVEDxSURVIVAL,Gero,Midasmens,TV Size op opening HoneyWorks darknessangel,1,90.51425,103342,0.0
Howling (TV Size),FLOW x GRANRODEO,Nevo,nanatsu no taizai imashime fukkatsu seven deadly sins revival of the commandments agatsu sotarks airincat azunyan- glaceon smokelind xchorse yudragen chaoticred anime japanese armin a_r_m_i_n hypercyte Mayu Sakuma kujinn xexyz,1,91.97714285714285,1033492,0.0
SELF DESTRUCT,sakuraburst,fusionnqn,featured artist instrumental tech electronic neurofunk fa Drum & bass dnb hardstyle -jordan- jory knightc0re knightcore fusion and,1,256.54857142857145,1033562,0.0
Beat Syncer,DIVELA feat. Hatsune Miku,Log Off Now,japanese vocaloid rock video game ミライコレクション groove coaster mirai collection short cut version,1,98.4707709750567,1034008,0.0
Spellbound,James Landino,Pachiru,fa featured artist mappers' guild dtm9 nowa blastthekidd electronic instrumental,1,130.896,1034041,0.0
ASKORBINKA,FRIENDZONE / MAYBE BABY,-Mikan,schoolboy testo komore daycore piroshki russian pop русский frendzona мейби бейби,1,177.9461224489796,1034093,0.0
SPLASH FREE (TV Size),STYLE FIVE,Megurine Luka,iwatobi swim club ending yaoi kyoto animation Shimazaki Nobunaga Suzuki Tatsuhisa Tsubasa Yonaga Hirakawa Daisuke Miyano Mamoru jyc-Binggan mintong89,1,89.67836734693877,103417,0.0
Berry Go!!,Freezer feat. Kiichigo,Sotarks,amamiya yuko skystar mir kowari reform kujinn akitoshi corinn -laura- mippai BOFU2017 LEGENDA EST A MYTH HYBRID J-POP Muse Dash Groundbreaking COMPILATION ALBUM GdbG Can You Decorate? Lilium Records BMS japanese female vocalist,1,115.55176870748299,1034502,0.0
